title,Don’t Give Up!,book_en_504_page_0_1.m4a,book_en_504_page_0,portrait,audio,
sentence,book_en_504_page_5_1.m4a,0,
word,0,0.592492,He,en-uk_he.m4a,0.2,
word,0.592492,1.45306,jumped,en-uk_jumped.m4a,0.2,
word,1.45306,2.1363,again.,en-uk_again.m4a,0.2,
sentence,book_en_504_page_5_2.m4a,3.1363,
word,0,0.660741,He,en-uk_he.m4a,0.2,
word,0.660741,1.76916,grabbed,en-uk_grabbed.m4a,0.2,
word,1.76916,1.97933,for,en-uk_for.m4a,0.2,
word,1.97933,2.15463,the,en-uk_the.m4a,0.2,
word,2.15463,2.61292,bunch,en-uk_bunch.m4a,0.2,
word,2.61292,2.79686,of,en-uk_of.m4a,0.2,
word,2.79686,3.68476,grapes.,en-uk_grapes.m4a,0.2,
sentence,book_en_504_page_5_3.m4a,7.82107,
word,0,0.384369,He,en-uk_he.m4a,0.2,
word,0.384369,0.769244,got,en-uk_got.m4a,0.2,
word,0.769244,1.66999,"close,",en-uk_close.m4a,0.2,
word,1.66999,2.30259,but,en-uk_but.m4a,0.2,
word,2.30259,2.53633,he,en-uk_he.m4a,0.2,
word,2.53633,3.33678,still,en-uk_still.m4a,0.2,
word,3.33678,3.52871,could,en-uk_could.m4a,0.2,
word,3.52871,3.97028,not,en-uk_not.m4a,0.2,
word,3.97028,4.21949,reach,en-uk_reach.m4a,0.2,
word,4.21949,4.69556,them.,en-uk_them.m4a,0.2,
page,6,book_en_504_page_6,wordwrap,
paragraph
sentence,book_en_504_page_6_1.m4a,0,
word,0,0.801434,Fox,en-uk_fox.m4a,0.2,
word,0.801434,1.02381,could,en-uk_could.m4a,0.2,
word,1.02381,1.48389,not,en-uk_not.m4a,0.2,
word,1.48389,1.92636,get,en-uk_get.m4a,0.2,
word,1.92636,2.15179,the,en-uk_the.m4a,0.2,
word,2.15179,2.65969,grapes,en-uk_grapes.m4a,0.2,
word,2.65969,3.00871,by,en-uk_by.m4a,0.2,
word,3.00871,3.73492,jumping.,en-uk_jumping.m4a,0.2,
sentence,book_en_504_page_6_2.m4a,4.73492,
word,0,0.461616,He,en-uk_he.m4a,0.2,
word,0.461616,0.670221,was,en-uk_was.m4a,0.2,
word,0.670221,1.06224,getting,en-uk_getting.m4a,0.2,
word,1.06224,2.00367,upset.,en-uk_upset.m4a,0.2,
sentence,book_en_504_page_6_3.m4a,7.73859,
word,0,0.390265,Could,en-uk_could.m4a,0.2,
word,0.390265,0.648767,he,en-uk_he.m4a,0.2,
word,0.648767,1.19226,find,en-uk_find.m4a,0.2,
word,1.19226,1.66662,another,en-uk_another.m4a,0.2,
word,1.66662,2.11714,way?,en-uk_way.m4a,0.2,
page,7,book_en_504_page_7,wordwrap,
paragraph
sentence,book_en_504_page_7_1.m4a,0,
word,0,0.453194,We,en-uk_we.m4a,0.2,
