title,Tall Khali,book_en_507_page_0_1.m4a,book_en_507_page_0,portrait,audio,
word,3.35508,3.86295,waving,en-uk_waving.m4a,0.2,
word,3.86295,4.07977,to,en-uk_to.m4a,0.2,
word,4.07977,4.85645,"them,",en-uk_them.m4a,0.2,
word,4.85645,5.42202,so,en-uk_so.m4a,0.2,
word,5.42202,5.83667,they,en-uk_they.m4a,0.2,
word,5.83667,6.23912,waved,en-uk_waved.m4a,0.2,
word,6.23912,6.5917,back.,en-uk_back.m4a,0.2,
sentence,book_en_507_page_2_4.m4a,23.1119,
word,0,0.549247,But,en-uk_but.m4a,0.2,
word,0.549247,0.874401,when,en-uk_when.m4a,0.2,
word,0.874401,1.07653,they,en-uk_they.m4a,0.2,
word,1.07653,2.00826,realized,en-uk_realized.m4a,0.2,
word,2.00826,2.1249,he,en-uk_he.m4a,0.2,
word,2.1249,2.3084,was,en-uk_was.m4a,0.2,
word,2.3084,2.78478,raising,en-uk_raising.m4a,0.2,
word,2.78478,2.99625,a,en-uk_a.m4a,0.2,
word,2.99625,3.68598,foot,en-uk_foot.m4a,0.2,
word,3.68598,4.2343,instead,en-uk_instead.m4a,0.2,
word,4.2343,4.37603,of,en-uk_of.m4a,0.2,
word,4.37603,4.56779,a,en-uk_a.m4a,0.2,
word,4.56779,5.26935,"hand,",en-uk_hand.m4a,0.2,
word,5.26935,5.64648,they,en-uk_they.m4a,0.2,
word,5.64648,6.46026,just,en-uk_just.m4a,0.2,
word,6.46026,7.27991,laughed.,en-uk_laughed.m4a,0.2,
page,3,book_en_507_page_3,wordwrap,
paragraph
sentence,book_en_507_page_3_1.m4a,0,
word,0,0.784886,Khali's,en-uk_tumo1s.m4a,0.2,
word,0.784886,1.35206,house,en-uk_house.m4a,0.2,
word,1.35206,1.58613,was,en-uk_was.m4a,0.2,
word,1.58613,1.8776,too,en-uk_too.m4a,0.2,
word,1.8776,2.28735,small,en-uk_small.m4a,0.2,
word,2.28735,2.49,for,en-uk_for.m4a,0.2,
word,2.49,2.72663,"him,",en-uk_him.m4a,0.2,
word,2.72663,3.19286,too.,en-uk_too.m4a,0.2,
sentence,book_en_507_page_3_2.m4a,4.19286,
word,0,0.449215,He,en-uk_he.m4a,0.2,
word,0.449215,0.691545,had,en-uk_had.m4a,0.2,
word,0.691545,0.909281,to,en-uk_to.m4a,0.2,
word,0.909281,1.35068,bend,en-uk_bend.m4a,0.2,
word,1.35068,1.58515,at,en-uk_at.m4a,0.2,
word,1.58515,1.77419,the,en-uk_the.m4a,0.2,
word,1.77419,2.32444,waist,en-uk_waist.m4a,0.2,
word,2.32444,2.60095,just,en-uk_just.m4a,0.2,
word,2.60095,2.84111,to,en-uk_to.m4a,0.2,
word,2.84111,3.28556,get,en-uk_get.m4a,0.2,
word,3.28556,3.64168,through,en-uk_through.m4a,0.2,
word,3.64168,3.8431,the,en-uk_the.m4a,0.2,
word,3.8431,4.55853,doorway.,en-uk_doorway.m4a,0.2,
sentence,book_en_507_page_3_3.m4a,9.75138,
word,0,0.626337,And,en-uk_and.m4a,0.2,
word,0.626337,0.89064,when,en-uk_when.m4a,0.2,
word,0.89064,1.0933,he,en-uk_he.m4a,0.2,
word,1.0933,1.41765,got,en-uk_got.m4a,0.2,
word,1.41765,2.44952,"inside,",en-uk_inside.m4a,0.2,
word,2.44952,2.8844,he,en-uk_he.m4a,0.2,
word,2.8844,3.06903,had,en-uk_had.m4a,0.2,
word,3.06903,3.31806,to,en-uk_to.m4a,0.2,
word,3.31806,3.80178,crawl,en-uk_crawl.m4a,0.2,
word,3.80178,4.6597,around,en-uk_around.m4a,0.2,
word,4.6597,4.83597,on,en-uk_on.m4a,0.2,
word,4.83597,5.07723,his,en-uk_his.m4a,0.2,
word,5.07723,5.61088,arms,en-uk_arms.m4a,0.2,
word,5.61088,5.81216,and,en-uk_and.m4a,0.2,
word,5.81216,6.33694,legs,en-uk_legs.m4a,0.2,
word,6.33694,6.80239,so,en-uk_so.m4a,0.2,
word,6.80239,7.0043,that,en-uk_that.m4a,0.2,
word,7.0043,7.17761,his,en-uk_his.m4a,0.2,
word,7.17761,7.63669,head,en-uk_head.m4a,0.2,
word,7.63669,7.992,didn't,en-uk_didn1t.m4a,0.2,
word,7.992,8.2785,hit,en-uk_hit.m4a,0.2,
word,8.2785,8.47178,the,en-uk_the.m4a,0.2,
word,8.47178,9.04243,ceiling.,en-uk_ceiling.m4a,0.2,
sentence,book_en_507_page_3_4.m4a,19.7938,
word,0,0.402655,His,en-uk_his.m4a,0.2,
word,0.402655,1.17897,clothes,en-uk_clothes.m4a,0.2,
word,1.17897,1.66991,became,en-uk_became.m4a,0.2,
word,1.66991,2.18563,very,en-uk_very.m4a,0.2,
word,2.18563,3.00573,dirty,en-uk_dirty.m4a,0.2,
word,3.00573,3.26113,from,en-uk_from.m4a,0.2,
word,3.26113,3.78028,crawling,en-uk_crawling.m4a,0.2,
word,3.78028,4.36332,around,en-uk_around.m4a,0.2,
word,4.36332,4.54775,on,en-uk_on.m4a,0.2,
word,4.54775,4.72181,the,en-uk_the.m4a,0.2,
word,4.72181,5.17639,floor.,en-uk_floor.m4a,0.2,
page,4,book_en_507_page_4,wordwrap,
paragraph
sentence,book_en_507_page_4_1.m4a,0,
word,0,0.817316,Even,en-uk_even.m4a,0.2,
word,0.817316,1.51769,Khali's,en-uk_tumo1s.m4a,0.2,
word,1.51769,2.12638,bed,en-uk_bed.m4a,0.2,
word,2.12638,2.36069,was,en-uk_was.m4a,0.2,
word,2.36069,2.82608,too,en-uk_too.m4a,0.2,
word,2.82608,3.15831,short,en-uk_short.m4a,0.2,
word,3.15831,3.36023,for,en-uk_for.m4a,0.2,
word,3.36023,3.79254,him!,en-uk_him.m4a,0.2,
sentence,book_en_507_page_4_2.m4a,4.79254,
word,0,0.368636,When,en-uk_when.m4a,0.2,
word,0.368636,0.551167,he,en-uk_he.m4a,0.2,
word,0.551167,0.88789,laid,en-uk_laid.m4a,0.2,
word,0.88789,1.51941,down,en-uk_down.m4a,0.2,
word,1.51941,1.66992,to,en-uk_to.m4a,0.2,
word,1.66992,1.86896,go,en-uk_go.m4a,0.2,
word,1.86896,2.01527,to,en-uk_to.m4a,0.2,
word,2.01527,2.75269,"bed,",en-uk_bed.m4a,0.2,
word,2.75269,3.01298,his,en-uk_his.m4a,0.2,
word,3.01298,3.56022,long,en-uk_long.m4a,0.2,
word,3.56022,4.01883,legs,en-uk_legs.m4a,0.2,
word,4.01883,4.32704,and,en-uk_and.m4a,0.2,
word,4.32704,4.86295,big,en-uk_big.m4a,0.2,
word,4.86295,5.73726,feet,en-uk_feet.m4a,0.2,
word,5.73726,6.19576,stuck,en-uk_stuck.m4a,0.2,
word,6.19576,6.89643,out,en-uk_out.m4a,0.2,
word,6.89643,7.2786,way,en-uk_way.m4a,0.2,
word,7.2786,7.64547,past,en-uk_past.m4a,0.2,
word,7.64547,7.84733,the,en-uk_the.m4a,0.2,
word,7.84733,8.13737,end,en-uk_end.m4a,0.2,
word,8.13737,8.2675,of,en-uk_of.m4a,0.2,
word,8.2675,8.44497,the,en-uk_the.m4a,0.2,
word,8.44497,8.75966,bed.,en-uk_bed.m4a,0.2,
sentence,book_en_507_page_4_3.m4a,14.5522,
word,0,0.373912,In,en-uk_in.m4a,0.2,
word,0.373912,0.510186,the,en-uk_the.m4a,0.2,
word,0.510186,1.09775,"night,",en-uk_night.m4a,0.2,
word,1.09775,2.40711,mosquitoes,en-uk_mosquitoes.m4a,0.2,
word,2.40711,2.61189,bit,en-uk_bit.m4a,0.2,
word,2.61189,2.85704,his,en-uk_his.m4a,0.2,
word,2.85704,3.42078,feet,en-uk_feet.m4a,0.2,
word,3.42078,3.94873,and,en-uk_and.m4a,0.2,
word,3.94873,4.14807,his,en-uk_his.m4a,0.2,
word,4.14807,4.60786,legs,en-uk_legs.m4a,0.2,
word,4.60786,5.04258,became,en-uk_became.m4a,0.2,
word,5.04258,5.65098,cold.,en-uk_cold.m4a,0.2,
sentence,book_en_507_page_4_4.m4a,21.2032,
word,0,0.232643,If,en-uk_if.m4a,0.2,
word,0.232643,0.666443,his,en-uk_his.m4a,0.2,
word,0.666443,1.40152,family,en-uk_family.m4a,0.2,
word,1.40152,1.60635,got,en-uk_got.m4a,0.2,
word,1.60635,1.81436,up,en-uk_up.m4a,0.2,
word,1.81436,2.02787,in,en-uk_in.m4a,0.2,
word,2.02787,2.23343,the,en-uk_the.m4a,0.2,
word,2.23343,2.54632,middle,en-uk_middle.m4a,0.2,
word,2.54632,2.73239,of,en-uk_of.m4a,0.2,
word,2.73239,2.89849,the,en-uk_the.m4a,0.2,
word,2.89849,3.57734,"night,",en-uk_night.m4a,0.2,
word,3.57734,3.982,they,en-uk_they.m4a,0.2,
word,3.982,4.4153,tripped,en-uk_tripped.m4a,0.2,
word,4.4153,4.60107,over,en-uk_over.m4a,0.2,
word,4.60107,5.21549,him.,en-uk_him.m4a,0.2,
sentence,book_en_507_page_4_5.m4a,27.216,
word,0,0.711095,They,en-uk_they.m4a,0.2,
word,0.711095,1.0451,were,en-uk_were.m4a,0.2,
word,1.0451,1.54244,not,en-uk_not.m4a,0.2,
word,1.54244,2.14766,happy.,en-uk_happy.m4a,0.2,
page,5,book_en_507_page_5,wordwrap,
paragraph
sentence,book_en_507_page_5_1.m4a,0,
word,0,0.715715,Life,en-uk_life.m4a,0.2,
word,0.715715,0.908098,was,en-uk_was.m4a,0.2,
word,0.908098,1.45641,hard,en-uk_hard.m4a,0.2,
word,1.45641,1.65038,for,en-uk_for.m4a,0.2,
word,1.65038,2.38388,Khali,en-uk_tumo.m4a,0.2,
word,2.38388,3.22375,and,en-uk_and.m4a,0.2,
word,3.22375,3.41744,the,en-uk_the.m4a,0.2,
word,3.41744,4.02542,villagers,en-uk_villagers.m4a,0.2,
word,4.02542,4.28509,felt,en-uk_felt.m4a,0.2,
word,4.28509,4.75078,bad,en-uk_bad.m4a,0.2,
word,4.75078,4.91896,for,en-uk_for.m4a,0.2,
word,4.91896,5.31113,him.,en-uk_him.m4a,0.2,
sentence,book_en_507_page_5_2.m4a,6.31113,
word,0,0.321319,When,en-uk_when.m4a,0.2,
word,0.321319,0.580814,he,en-uk_he.m4a,0.2,
word,0.580814,0.954799,told,en-uk_told.m4a,0.2,
word,0.954799,1.36161,them,en-uk_them.m4a,0.2,
word,1.36161,1.80652,about,en-uk_about.m4a,0.2,
word,1.80652,2.00614,how,en-uk_how.m4a,0.2,
word,2.00614,2.21394,much,en-uk_much.m4a,0.2,
word,2.21394,2.77114,trouble,en-uk_trouble.m4a,0.2,
word,2.77114,2.96502,he,en-uk_he.m4a,0.2,
word,2.96502,3.8314,had,en-uk_had.m4a,0.2,
word,3.8314,4.18395,just,en-uk_just.m4a,0.2,
word,4.18395,4.4722,to,en-uk_to.m4a,0.2,
word,4.4722,4.80705,live,en-uk_live.m4a,0.2,
word,4.80705,5.08916,his,en-uk_his.m4a,0.2,
word,5.08916,5.456,life,en-uk_life.m4a,0.2,
word,5.456,5.78183,"normally,",en-uk_normally.m4a,0.2,
word,5.78183,6.83275,the,en-uk_the.m4a,0.2,
word,6.83275,7.64135,villagers,en-uk_villagers.m4a,0.2,
word,7.64135,8.38352,decided,en-uk_decided.m4a,0.2,
word,8.38352,8.55374,they,en-uk_they.m4a,0.2,
word,8.55374,8.7492,would,en-uk_would.m4a,0.2,
word,8.7492,9.08392,do,en-uk_do.m4a,0.2,
word,9.08392,9.50081,something,en-uk_something.m4a,0.2,
word,9.50081,9.71914,about,en-uk_about.m4a,0.2,
word,9.71914,10.1011,it.,en-uk_it.m4a,0.2,
sentence,book_en_507_page_5_3.m4a,17.4122,
word,0,0.514162,After,en-uk_after.m4a,0.2,
word,0.514162,1.37255,"all,",en-uk_all.m4a,0.2,
word,1.37255,2.69,Khali,en-uk_tumo.m4a,0.2,
word,2.69,2.84175,had,en-uk_had.m4a,0.2,
word,2.84175,3.19414,not,en-uk_not.m4a,0.2,
word,3.19414,3.49759,asked,en-uk_asked.m4a,0.2,
word,3.49759,3.67451,to,en-uk_to.m4a,0.2,
word,3.67451,3.91575,be,en-uk_be.m4a,0.2,
word,3.91575,4.16976,so,en-uk_so.m4a,0.2,
word,4.16976,4.63016,tall.,en-uk_tall.m4a,0.2,
sentence,book_en_507_page_5_4.m4a,23.0424,
word,0,0.592256,This,en-uk_this.m4a,0.2,
word,0.592256,0.836054,was,en-uk_was.m4a,0.2,
word,0.836054,1.3689,just,en-uk_just.m4a,0.2,
word,1.3689,1.6283,how,en-uk_how.m4a,0.2,
word,1.6283,1.82769,he,en-uk_he.m4a,0.2,
word,1.82769,2.03601,was,en-uk_was.m4a,0.2,
word,2.03601,2.56383,born.,en-uk_born.m4a,0.2,
sentence,book_en_507_page_5_5.m4a,26.6062,
word,0,0.376723,It,en-uk_it.m4a,0.2,
word,0.376723,0.684216,could,en-uk_could.m4a,0.2,
word,0.684216,0.910598,have,en-uk_have.m4a,0.2,
word,0.910598,1.40858,happened,en-uk_happened.m4a,0.2,
word,1.40858,1.59723,that,en-uk_that.m4a,0.2,
word,1.59723,2.04221,way,en-uk_way.m4a,0.2,
word,2.04221,2.27528,to,en-uk_to.m4a,0.2,
word,2.27528,2.9198,anyone.,en-uk_anyone.m4a,0.2,
sentence,book_en_507_page_5_6.m4a,30.526,
word,0,0.501336,They,en-uk_they.m4a,0.2,
word,0.501336,0.839284,came,en-uk_came.m4a,0.2,
word,0.839284,1.14889,up,en-uk_up.m4a,0.2,
word,1.14889,1.27748,with,en-uk_with.m4a,0.2,
word,1.27748,1.43715,a,en-uk_a.m4a,0.2,
word,1.43715,2.08281,plan,en-uk_plan.m4a,0.2,
word,2.08281,2.21007,to,en-uk_to.m4a,0.2,
word,2.21007,2.61794,help,en-uk_help.m4a,0.2,
word,2.61794,3.21127,Khali.,en-uk_tumo.m4a,0.2,
page,6,book_en_507_page_6,wordwrap,
paragraph
sentence,book_en_507_page_6_1.m4a,0,
word,0,0.643588,Khali,en-uk_tumo.m4a,0.2,
word,0.643588,1.09491,awoke,en-uk_awoke.m4a,0.2,
word,1.09491,1.39496,the,en-uk_the.m4a,0.2,
word,1.39496,1.76867,next,en-uk_next.m4a,0.2,
word,1.76867,2.21266,morning,en-uk_morning.m4a,0.2,
word,2.21266,2.55422,as,en-uk_as.m4a,0.2,
word,2.55422,3.39489,usual,en-uk_usual.m4a,0.2,
word,3.39489,3.76296,and,en-uk_and.m4a,0.2,
word,3.76296,4.14514,rode,en-uk_rode.m4a,0.2,
word,4.14514,4.37295,his,en-uk_his.m4a,0.2,
word,4.37295,5.14743,bicycle,en-uk_bicycle.m4a,0.2,
word,5.14743,5.32316,to,en-uk_to.m4a,0.2,
word,5.32316,5.53938,his,en-uk_his.m4a,0.2,
word,5.53938,6.18889,farm,en-uk_farm.m4a,0.2,
word,6.18889,6.65592,to,en-uk_to.m4a,0.2,
word,6.65592,6.95611,till,en-uk_till.m4a,0.2,
word,6.95611,7.19908,the,en-uk_the.m4a,0.2,
word,7.19908,7.7076,soil.,en-uk_soil.m4a,0.2,
sentence,book_en_507_page_6_2.m4a,8.7076,
word,0,0.727903,But,en-uk_but.m4a,0.2,
word,0.727903,1.22569,when,en-uk_when.m4a,0.2,
word,1.22569,1.36101,he,en-uk_he.m4a,0.2,
word,1.36101,1.7006,got,en-uk_got.m4a,0.2,
word,1.7006,2.43536,"there,",en-uk_there.m4a,0.2,
word,2.43536,3.08611,he,en-uk_he.m4a,0.2,
word,3.08611,3.60432,found,en-uk_found.m4a,0.2,
word,3.60432,3.86038,a,en-uk_a.m4a,0.2,
word,3.86038,4.30224,new,en-uk_new.m4a,0.2,
word,4.30224,4.73571,hoe!,en-uk_hoe.m4a,0.2,
sentence,book_en_507_page_6_3.m4a,14.4433,
word,0,0.459045,This,en-uk_this.m4a,0.2,
word,0.459045,0.901106,one,en-uk_one.m4a,0.2,
word,0.901106,1.12659,was,en-uk_was.m4a,0.2,
word,1.12659,1.48387,much,en-uk_much.m4a,0.2,
word,1.48387,2.25098,longer,en-uk_longer.m4a,0.2,
word,2.25098,2.37998,than,en-uk_than.m4a,0.2,
word,2.37998,2.60169,the,en-uk_the.m4a,0.2,
word,2.60169,2.91045,old,en-uk_old.m4a,0.2,
word,2.91045,3.35365,one.,en-uk_one.m4a,0.2,
sentence,book_en_507_page_6_4.m4a,18.797,
word,0,0.425483,He,en-uk_he.m4a,0.2,
word,0.425483,0.662637,didn't,en-uk_didn1t.m4a,0.2,
word,0.662637,1.07548,have,en-uk_have.m4a,0.2,
word,1.07548,1.27843,to,en-uk_to.m4a,0.2,
word,1.27843,1.60076,bend,en-uk_bend.m4a,0.2,
word,1.60076,1.88856,over,en-uk_over.m4a,0.2,
word,1.88856,2.0415,to,en-uk_to.m4a,0.2,
