title,Understanding Elephants,book_en_509_page_0_1.m4a,book_en_509_page_0,portrait,audio,
word,1.98331,2.61636,food.,en-uk_food.m4a,0.2,
sentence,book_en_509_page_5_2.m4a,3.57558,
word,0,0.316645,They,en-uk_they.m4a,0.2,
word,0.316645,0.583248,pick,en-uk_pick.m4a,0.2,
word,0.583248,0.733045,up,en-uk_up.m4a,0.2,
word,0.733045,1.09983,leaves,en-uk_leaves.m4a,0.2,
word,1.09983,1.28307,with,en-uk_with.m4a,0.2,
word,1.28307,1.44999,their,en-uk_their.m4a,0.2,
word,1.44999,1.83323,trunks,en-uk_trunks.m4a,0.2,
word,1.83323,2.21679,and,en-uk_and.m4a,0.2,
word,2.21679,2.48348,put,en-uk_put.m4a,0.2,
word,2.48348,2.63364,them,en-uk_them.m4a,0.2,
word,2.63364,2.98305,in,en-uk_in.m4a,0.2,
word,2.98305,3.1998,their,en-uk_their.m4a,0.2,
word,3.1998,3.73324,mouths.,en-uk_mouths.m4a,0.2,
page,6,book_en_509_page_6,wordwrap,
paragraph
sentence,book_en_509_page_6_1.m4a,0,
word,0,0.499962,Elephants,en-uk_elephants.m4a,0.2,
word,0.499962,1.0498,bathe,en-uk_bathe.m4a,0.2,
word,1.0498,1.24993,in,en-uk_in.m4a,0.2,
word,1.24993,1.61661,lakes,en-uk_lakes.m4a,0.2,
word,1.61661,1.78302,or,en-uk_or.m4a,0.2,
word,1.78302,2.39997,rivers.,en-uk_rivers.m4a,0.2,
sentence,book_en_509_page_6_2.m4a,3.43406,
word,0,0.299982,They,en-uk_they.m4a,0.2,
word,0.299982,0.633418,use,en-uk_use.m4a,0.2,
word,0.633418,0.816765,their,en-uk_their.m4a,0.2,
word,0.816765,1.2335,trunks,en-uk_trunks.m4a,0.2,
word,1.2335,1.38366,to,en-uk_to.m4a,0.2,
word,1.38366,1.6997,spray,en-uk_spray.m4a,0.2,
word,1.6997,2.13349,water,en-uk_water.m4a,0.2,
word,2.13349,2.3,on,en-uk_on.m4a,0.2,
word,2.3,3.00002,themselves,en-uk_themselves.m4a,0.2,
word,3.00002,3.31696,and,en-uk_and.m4a,0.2,
word,3.31696,3.69994,other,en-uk_other.m4a,0.2,
word,3.69994,4.36679,elephants.,en-uk_elephants.m4a,0.2,
page,7,book_en_509_page_7,wordwrap,
paragraph
sentence,book_en_509_page_7_1.m4a,0,
word,0,0.383347,After,en-uk_after.m4a,0.2,
word,0.383347,0.60007,they,en-uk_they.m4a,0.2,
word,0.60007,1.16672,"bathe,",en-uk_bathe.m4a,0.2,
word,1.16672,1.71647,elephants,en-uk_elephants.m4a,0.2,
word,1.71647,2.06654,throw,en-uk_throw.m4a,0.2,
word,2.06654,2.46683,dirt,en-uk_dirt.m4a,0.2,
word,2.46683,2.68327,on,en-uk_on.m4a,0.2,
word,2.68327,2.86676,their,en-uk_their.m4a,0.2,
word,2.86676,3.35072,backs.,en-uk_backs.m4a,0.2,
sentence,book_en_509_page_7_2.m4a,4.5,
word,0,0.283131,The,en-uk_the.m4a,0.2,
word,0.283131,0.666749,dirt,en-uk_dirt.m4a,0.2,
word,0.666749,1.16647,protects,en-uk_protects.m4a,0.2,
word,1.16647,1.69985,elephants,en-uk_elephants.m4a,0.2,
word,1.69985,1.95007,from,en-uk_from.m4a,0.2,
word,1.95007,2.09982,the,en-uk_the.m4a,0.2,
word,2.09982,2.53312,strong,en-uk_strong.m4a,0.2,
word,2.53312,3.16653,sun.,en-uk_sun.m4a,0.2,
page,8,book_en_509_page_8,wordwrap,
paragraph
sentence,book_en_509_page_8_1.m4a,0,
word,0,0.39999,Elephant,en-uk_elephant.m4a,0.2,
word,0.39999,0.9167,skin,en-uk_skin.m4a,0.2,
word,0.9167,1.10032,is,en-uk_is.m4a,0.2,
word,1.10032,1.48353,tough,en-uk_tough.m4a,0.2,
word,1.48353,1.6667,and,en-uk_and.m4a,0.2,
word,1.6667,2.31648,wrinkly.,en-uk_wrinkly.m4a,0.2,
sentence,book_en_509_page_8_2.m4a,3.30744,
word,0,0.332941,This,en-uk_this.m4a,0.2,
word,0.332941,0.583342,is,en-uk_is.m4a,0.2,
word,0.583342,0.69957,a,en-uk_a.m4a,0.2,
word,0.69957,1.04992,very,en-uk_very.m4a,0.2,
word,1.04992,1.38287,close,en-uk_close.m4a,0.2,
word,1.38287,1.86593,picture,en-uk_picture.m4a,0.2,
word,1.86593,2.0663,of,en-uk_of.m4a,0.2,
word,2.0663,2.21625,an,en-uk_an.m4a,0.2,
word,2.21625,2.63298,elephant's,en-uk_elephants.m4a,0.2,
word,2.63298,3.20088,skin.,en-uk_skin.m4a,0.2,
page,9,book_en_509_page_9,wordwrap,
paragraph
sentence,book_en_509_page_9_1.m4a,0,
word,0,0.400305,Many,en-uk_many.m4a,0.2,
word,0.400305,0.900333,elephants,en-uk_elephants.m4a,0.2,
word,0.900333,1.16694,also,en-uk_also.m4a,0.2,
word,1.16694,1.61665,have,en-uk_have.m4a,0.2,
word,1.61665,2.36642,tusks.,en-uk_tusks.m4a,0.2,
sentence,book_en_509_page_9_2.m4a,3.46218,
word,0,0.499949,Tusks,en-uk_tusks.m4a,0.2,
word,0.499949,0.817674,are,en-uk_are.m4a,0.2,
word,0.817674,1.21675,really,en-uk_really.m4a,0.2,
word,1.21675,1.48346,big,en-uk_big.m4a,0.2,
word,1.48346,2.02603,teeth!,en-uk_teeth.m4a,0.2,
sentence,book_en_509_page_9_3.m4a,6.48821,
word,0,0.583053,Elephants,en-uk_elephants.m4a,0.2,
word,0.583053,0.900111,use,en-uk_use.m4a,0.2,
word,0.900111,1.14927,their,en-uk_their.m4a,0.2,
