title,Night Animals,book_en_410_page_0_1.m4a,book_en_410_page_0,portrait,audio,
word,1.78399,2.06813,saw,en-uk_saw.m4a,0.2,
word,2.06813,2.28362,a,en-uk_a.m4a,0.2,
word,2.28362,3.15728,fox.,en-uk_fox.m4a,0.2,
sentence,book_en_410_page_6_2.m4a,4.15728,
word,0,0.427278,He,en-uk_he.m4a,0.2,
word,0.427278,0.953781,asked,en-uk_asked.m4a,0.2,
word,0.953781,1.184,the,en-uk_the.m4a,0.2,
word,1.184,1.81289,fox,en-uk_fox.m4a,0.2,
word,1.81289,1.95937,to,en-uk_to.m4a,0.2,
word,1.95937,2.21179,come,en-uk_come.m4a,0.2,
word,2.21179,2.61318,play,en-uk_play.m4a,0.2,
word,2.61318,2.78371,with,en-uk_with.m4a,0.2,
word,2.78371,3.20635,him.,en-uk_him.m4a,0.2,
page,7,book_en_410_page_7,wordwrap,
paragraph
sentence,book_en_410_page_7_1.m4a,0,
word,0,0.317899,The,en-uk_the.m4a,0.2,
word,0.317899,1.10269,dog,en-uk_dog.m4a,0.2,
word,1.10269,1.75929,approached,en-uk_approached.m4a,0.2,
word,1.75929,1.91923,an,en-uk_an.m4a,0.2,
word,1.91923,2.46818,owl,en-uk_owl.m4a,0.2,
word,2.46818,2.78466,in,en-uk_in.m4a,0.2,
word,2.78466,2.94476,a,en-uk_a.m4a,0.2,
word,2.94476,3.53102,tree.,en-uk_tree.m4a,0.2,
sentence,book_en_410_page_7_2.m4a,4.53102,
word,0,0.338786,He,en-uk_he.m4a,0.2,
word,0.338786,0.612289,was,en-uk_was.m4a,0.2,
word,0.612289,1.4128,happy,en-uk_happy.m4a,0.2,
word,1.4128,1.57203,to,en-uk_to.m4a,0.2,
word,1.57203,1.76849,see,en-uk_see.m4a,0.2,
word,1.76849,2.03811,the,en-uk_the.m4a,0.2,
word,2.03811,2.49571,owl,en-uk_owl.m4a,0.2,
word,2.49571,3.04848,awake.,en-uk_awake.m4a,0.2,
sentence,book_en_410_page_7_3.m4a,8.5795,
word,0,0.37545,He,en-uk_he.m4a,0.2,
word,0.37545,0.867079,asked,en-uk_asked.m4a,0.2,
word,0.867079,1.14264,the,en-uk_the.m4a,0.2,
word,1.14264,1.84503,owl,en-uk_owl.m4a,0.2,
word,1.84503,2.02871,to,en-uk_to.m4a,0.2,
word,2.02871,2.33754,play,en-uk_play.m4a,0.2,
word,2.33754,2.48345,with,en-uk_with.m4a,0.2,
word,2.48345,2.89476,him.,en-uk_him.m4a,0.2,
page,8,book_en_410_page_8,wordwrap,
paragraph
sentence,book_en_410_page_8_1.m4a,0,
word,0,0.336828,He,en-uk_he.m4a,0.2,
word,0.336828,0.961026,found,en-uk_found.m4a,0.2,
word,0.961026,1.10828,that,en-uk_that.m4a,0.2,
word,1.10828,1.26002,a,en-uk_a.m4a,0.2,
word,1.26002,1.92657,cricket,en-uk_cricket.m4a,0.2,
word,1.92657,2.16988,was,en-uk_was.m4a,0.2,
word,2.16988,2.57364,awake,en-uk_awake.m4a,0.2,
word,2.57364,3.17111,too.,en-uk_too.m4a,0.2,
sentence,book_en_410_page_8_2.m4a,4.17111,
word,0,0.497491,He,en-uk_he.m4a,0.2,
word,0.497491,1.12347,asked,en-uk_asked.m4a,0.2,
word,1.12347,1.34396,the,en-uk_the.m4a,0.2,
word,1.34396,2.00711,cricket,en-uk_cricket.m4a,0.2,
word,2.00711,2.15873,to,en-uk_to.m4a,0.2,
word,2.15873,2.44907,play,en-uk_play.m4a,0.2,
word,2.44907,2.58412,with,en-uk_with.m4a,0.2,
word,2.58412,3.05748,him.,en-uk_him.m4a,0.2,
page,9,book_en_410_page_9,wordwrap,
paragraph
sentence,book_en_410_page_9_1.m4a,0,
word,0,0.324534,The,en-uk_the.m4a,0.2,
word,0.324534,0.79917,dog,en-uk_dog.m4a,0.2,
word,0.79917,1.34013,didn’t,en-uk_didn1t.m4a,0.2,
word,1.34013,1.78914,know,en-uk_know.m4a,0.2,
word,1.78914,1.95804,that,en-uk_that.m4a,0.2,
word,1.95804,2.3554,some,en-uk_some.m4a,0.2,
word,2.3554,2.94289,animals,en-uk_animals.m4a,0.2,
word,2.94289,3.12365,do,en-uk_do.m4a,0.2,
word,3.12365,3.41796,not,en-uk_not.m4a,0.2,
