title,Cat and Mouse,book_en_219_page_0_1.m4a,book_en_219_page_0,landscape,audio,
page,1,book_en_219_page_1,wordwrap,
paragraph
sentence,book_en_219_page_1_1.m4a,0,
word,0,0.307765,Good,en-uk_good.m4a,0.2,
word,0.307765,1.10892,"morning,",en-uk_morning.m4a,0.2,
word,1.10892,2.04324,Cat,en-uk_cat.m4a,0.2,
word,2.04324,2.40181,and,en-uk_and.m4a,0.2,
word,2.40181,3.00265,Mouse!,en-uk_mouse.m4a,0.2,
page,2,book_en_219_page_2,wordwrap,
paragraph
sentence,book_en_219_page_2_1.m4a,0,
word,0,0.86926,Time,en-uk_time.m4a,0.2,
word,0.86926,1.08524,to,en-uk_to.m4a,0.2,
word,1.08524,1.7932,eat!,en-uk_eat.m4a,0.2,
page,3,book_en_219_page_3,wordwrap,
paragraph
sentence,book_en_219_page_3_1.m4a,0,
word,0,0.706562,Time,en-uk_time.m4a,0.2,
word,0.706562,1.06536,to,en-uk_to.m4a,0.2,
word,1.06536,1.69065,play.,en-uk_play.m4a,0.2,
page,4,book_en_219_page_4,wordwrap,
paragraph
sentence,book_en_219_page_4_1.m4a,0,
word,0,0.567361,Time,en-uk_time.m4a,0.2,
word,0.567361,0.808832,to,en-uk_to.m4a,0.2,
word,0.808832,1.51803,find,en-uk_find.m4a,0.2,
word,1.51803,2.36417,toys!,en-uk_toys.m4a,0.2,
page,5,book_en_219_page_5,wordwrap,
paragraph
sentence,book_en_219_page_5_1.m4a,0,
word,0,0.675697,Time,en-uk_time.m4a,0.2,
word,0.675697,0.900895,to,en-uk_to.m4a,0.2,
word,0.900895,1.5518,brush,en-uk_brush.m4a,0.2,
word,1.5518,2.16861,teeth.,en-uk_teeth.m4a,0.2,
page,6,book_en_219_page_6,wordwrap,
paragraph
sentence,book_en_219_page_6_1.m4a,0,
word,0,0.619355,Time,en-uk_time.m4a,0.2,
word,0.619355,0.913622,to,en-uk_to.m4a,0.2,
word,0.913622,1.74761,sleep.,en-uk_sleep.m4a,0.2,
sentence,book_en_219_page_6_2.m4a,2.67442,
word,0,0.308796,Good,en-uk_good.m4a,0.2,
word,0.308796,0.994649,night!,en-uk_night.m4a,0.2,
