title,How Can I Get to School?,book_en_501_page_0_1.m4a,book_en_501_page_0,landscape,audio,
word,1.08409,1.3342,didn't,en-uk_didn1t.m4a,0.2,
word,1.3342,1.75939,have,en-uk_have.m4a,0.2,
word,1.75939,1.95237,a,en-uk_a.m4a,0.2,
word,1.95237,2.60476,bicycle.,en-uk_bicycle.m4a,0.2,
page,5,book_en_501_page_5,wordwrap,
paragraph
sentence,book_en_501_page_5_1.m4a,0,
word,0,0.726609,"Then,",en-uk_then.m4a,0.2,
word,0.726609,1.22031,a,en-uk_a.m4a,0.2,
word,1.22031,1.64339,truck,en-uk_truck.m4a,0.2,
word,1.64339,2.14448,passed,en-uk_passed.m4a,0.2,
word,2.14448,2.79805,Cindy.,en-uk_cindy.m4a,0.2,
sentence,book_en_501_page_5_2.m4a,3.79805,
word,0,0.414249,“If,en-uk_if.m4a,0.2,
word,0.414249,1.23249,only,en-uk_only.m4a,0.2,
word,1.23249,1.40155,I,en-uk_i.m4a,0.2,
word,1.40155,1.61176,had,en-uk_had.m4a,0.2,
word,1.61176,1.79967,a,en-uk_a.m4a,0.2,
word,1.79967,2.33508,"truck,”",en-uk_truck.m4a,0.2,
sentence,book_en_501_page_5_3.m4a,7.13313,
word,0,0.560993,Cindy,en-uk_cindy.m4a,0.2,
word,0.560993,1.01576,thought.,en-uk_thought.m4a,0.2,
sentence,book_en_501_page_5_4.m4a,9.14889,
word,0.194197,0.3632,“I,en-uk_i.m4a,0.2,
word,0.3632,0.601347,could,en-uk_could.m4a,0.2,
word,0.601347,0.885633,learn,en-uk_learn.m4a,0.2,
word,0.885633,1.08249,to,en-uk_to.m4a,0.2,
word,1.08249,1.74455,drive,en-uk_drive.m4a,0.2,
word,1.74455,2.04465,and,en-uk_and.m4a,0.2,
word,2.04465,2.49181,drive,en-uk_drive.m4a,0.2,
word,2.49181,2.73564,to,en-uk_to.m4a,0.2,
word,2.73564,3.35803,school.”,en-uk_school.m4a,0.2,
page,6,book_en_501_page_6,wordwrap,
paragraph
sentence,book_en_501_page_6_1.m4a,0,
word,0,0.992558,Cindy,en-uk_cindy.m4a,0.2,
word,0.992558,1.23196,didn't,en-uk_didn1t.m4a,0.2,
word,1.23196,1.56785,have,en-uk_have.m4a,0.2,
word,1.56785,1.75705,a,en-uk_a.m4a,0.2,
word,1.75705,2.01051,"truck,",en-uk_truck.m4a,0.2,
word,2.01051,2.50358,though.,en-uk_though.m4a,0.2,
sentence,book_en_501_page_6_2.m4a,3.50358,
word,0,0.875641,Cindy,en-uk_cindy.m4a,0.2,
word,0.875641,1.46108,also,en-uk_also.m4a,0.2,
word,1.46108,1.8677,didn't,en-uk_didn1t.m4a,0.2,
word,1.8677,2.36123,know,en-uk_know.m4a,0.2,
word,2.36123,2.55103,how,en-uk_how.m4a,0.2,
word,2.55103,2.77179,to,en-uk_to.m4a,0.2,
word,2.77179,3.32814,drive.,en-uk_drive.m4a,0.2,
sentence,book_en_501_page_6_3.m4a,7.83172,
word,0,0.517043,She,en-uk_she.m4a,0.2,
word,0.517043,0.756022,was,en-uk_was.m4a,0.2,
word,0.756022,1.20052,too,en-uk_too.m4a,0.2,
word,1.20052,1.55084,young,en-uk_young.m4a,0.2,
word,1.55084,1.77739,to,en-uk_to.m4a,0.2,
word,1.77739,2.44383,drive.,en-uk_drive.m4a,0.2,
page,7,book_en_501_page_7,wordwrap,
paragraph
sentence,book_en_501_page_7_1.m4a,0,
word,0,0.291638,In,en-uk_in.m4a,0.2,
word,0.291638,0.482556,the,en-uk_the.m4a,0.2,
word,0.482556,1.38584,"distance,",en-uk_distance.m4a,0.2,
word,1.38584,2.22806,Cindy,en-uk_cindy.m4a,0.2,
word,2.22806,2.42595,heard,en-uk_heard.m4a,0.2,
word,2.42595,2.6149,the,en-uk_the.m4a,0.2,
word,2.6149,2.98061,sound,en-uk_sound.m4a,0.2,
word,2.98061,3.14312,of,en-uk_of.m4a,0.2,
word,3.14312,3.28051,a,en-uk_a.m4a,0.2,
word,3.28051,4.03918,train.,en-uk_train.m4a,0.2,
sentence,book_en_501_page_7_2.m4a,5.03918,
word,0,0.508809,She,en-uk_she.m4a,0.2,
word,0.508809,0.883986,tried,en-uk_tried.m4a,0.2,
word,0.883986,1.13759,to,en-uk_to.m4a,0.2,
word,1.13759,1.72853,look,en-uk_look.m4a,0.2,
word,1.72853,2.2761,and,en-uk_and.m4a,0.2,
word,2.2761,2.55887,saw,en-uk_saw.m4a,0.2,
word,2.55887,2.74614,a,en-uk_a.m4a,0.2,
word,2.74614,3.57625,train,en-uk_train.m4a,0.2,
word,3.57625,4.01015,riding,en-uk_riding.m4a,0.2,
word,4.01015,4.31884,down,en-uk_down.m4a,0.2,
word,4.31884,4.55929,the,en-uk_the.m4a,0.2,
word,4.55929,5.18041,tracks.,en-uk_tracks.m4a,0.2,
sentence,book_en_501_page_7_3.m4a,11.2196,
word,0.140189,0.285389,It,en-uk_it.m4a,0.2,
word,0.285389,0.543828,was,en-uk_was.m4a,0.2,
word,0.543828,0.968646,far,en-uk_far.m4a,0.2,
word,0.968646,1.96106,"away,",en-uk_away.m4a,0.2,
word,1.96106,2.69553,but,en-uk_but.m4a,0.2,
word,2.69553,2.8336,if,en-uk_if.m4a,0.2,
word,2.8336,3.06104,she,en-uk_she.m4a,0.2,
word,3.06104,3.72867,"ran,",en-uk_ran.m4a,0.2,
word,3.72867,4.16598,she,en-uk_she.m4a,0.2,
word,4.16598,4.52988,might,en-uk_might.m4a,0.2,
word,4.52988,4.82051,catch,en-uk_catch.m4a,0.2,
word,4.82051,5.12066,it.,en-uk_it.m4a,0.2,
sentence,book_en_501_page_7_4.m4a,17.3403,
word,0,0.284738,Could,en-uk_could.m4a,0.2,
word,0.284738,0.474156,the,en-uk_the.m4a,0.2,
word,0.474156,1.06749,train,en-uk_train.m4a,0.2,
word,1.06749,1.2897,take,en-uk_take.m4a,0.2,
word,1.2897,1.84236,Cindy,en-uk_cindy.m4a,0.2,
word,1.84236,2.04786,to,en-uk_to.m4a,0.2,
word,2.04786,2.57528,school?,en-uk_school.m4a,0.2,
page,8,book_en_501_page_8,wordwrap,
paragraph
sentence,book_en_501_page_8_1.m4a,0,
word,0,0.750681,Cindy,en-uk_cindy.m4a,0.2,
word,0.750681,1.0268,thought,en-uk_thought.m4a,0.2,
word,1.0268,1.27432,about,en-uk_about.m4a,0.2,
word,1.27432,1.70293,it.,en-uk_it.m4a,0.2,
sentence,book_en_501_page_8_2.m4a,2.70293,
word,0,0.309102,The,en-uk_the.m4a,0.2,
word,0.309102,0.719085,train,en-uk_train.m4a,0.2,
word,0.719085,1.2929,tracks,en-uk_tracks.m4a,0.2,
word,1.2929,1.52265,didn't,en-uk_didn1t.m4a,0.2,
word,1.52265,1.82601,go,en-uk_go.m4a,0.2,
