title,Tree,book_en_207_page_0_1.m4a,book_en_207_page_0,landscape,audio,
page,1,book_en_207_page_1,wordwrap,
paragraph
sentence,book_en_207_page_1_1.m4a,0,
word,0,0.712069,This,en-uk_this.m4a,0.2,
word,0.712069,0.929537,is,en-uk_is.m4a,0.2,
word,0.929537,1.11339,a,en-uk_a.m4a,0.2,
word,1.11339,1.7683,tree.,en-uk_tree.m4a,0.2,
page,2,book_en_207_page_2,wordwrap,
paragraph
sentence,book_en_207_page_2_1.m4a,0,
word,0,0.568759,All,en-uk_all.m4a,0.2,
word,0.568759,1.19575,trees,en-uk_trees.m4a,0.2,
word,1.19575,1.62903,have,en-uk_have.m4a,0.2,
word,1.62903,2.27522,roots.,en-uk_roots.m4a,0.2,
page,3,book_en_207_page_3,wordwrap,
paragraph
sentence,book_en_207_page_3_1.m4a,0,
word,0,0.543285,All,en-uk_all.m4a,0.2,
word,0.543285,1.1274,trees,en-uk_trees.m4a,0.2,
word,1.1274,1.66069,have,en-uk_have.m4a,0.2,
word,1.66069,1.84481,a,en-uk_a.m4a,0.2,
word,1.84481,2.4532,trunk.,en-uk_trunk.m4a,0.2,
page,4,book_en_207_page_4,wordwrap,
paragraph
sentence,book_en_207_page_4_1.m4a,0,
word,0,0.692589,Most,en-uk_most.m4a,0.2,
word,0.692589,1.05935,trees,en-uk_trees.m4a,0.2,
word,1.05935,1.51832,have,en-uk_have.m4a,0.2,
word,1.51832,2.44036,branches.,en-uk_branches.m4a,0.2,
page,5,book_en_207_page_5,wordwrap,
paragraph
sentence,book_en_207_page_5_1.m4a,0,
word,0,0.760263,Most,en-uk_most.m4a,0.2,
word,0.760263,1.23583,trees,en-uk_trees.m4a,0.2,
word,1.23583,1.80195,have,en-uk_have.m4a,0.2,
word,1.80195,2.56937,leaves.,en-uk_leaves.m4a,0.2,
page,6,book_en_207_page_6,wordwrap,
paragraph
sentence,book_en_207_page_6_1.m4a,0,
word,0,0.605679,Some,en-uk_some.m4a,0.2,
word,0.605679,1.22727,trees,en-uk_trees.m4a,0.2,
word,1.22727,1.62753,have,en-uk_have.m4a,0.2,
word,1.62753,2.55993,flowers.,en-uk_flowers.m4a,0.2,
