title,"Don’t Get Mad, Maddie",book_en_503_page_0_1.m4a,book_en_503_page_0,portrait,audio,
word,3.87723,4.14787,a,en-uk_a.m4a,0.2,
word,4.14787,4.66277,frog.,en-uk_frog.m4a,0.2,
sentence,book_en_503_page_14_5.m4a,16.8627,
word,0,0.858814,Maybe,en-uk_maybe.m4a,0.2,
word,0.858814,0.969057,it,en-uk_it.m4a,0.2,
word,0.969057,1.24244,would,en-uk_would.m4a,0.2,
word,1.24244,1.40944,be,en-uk_be.m4a,0.2,
word,1.40944,1.61985,a,en-uk_a.m4a,0.2,
word,1.61985,1.93325,good,en-uk_good.m4a,0.2,
word,1.93325,2.43055,day,en-uk_day.m4a,0.2,
word,2.43055,2.87158,after,en-uk_after.m4a,0.2,
word,2.87158,3.30819,all.,en-uk_all.m4a,0.2,
