title,"Don’t Get Mad, Maddie",book_en_503_page_0_1.m4a,book_en_503_page_0,portrait,audio,
word,2.36926,2.8166,daughter,en-uk_daughter.m4a,0.2,
word,2.8166,3.18376,feel,en-uk_feel.m4a,0.2,
word,3.18376,3.88188,better.,en-uk_better.m4a,0.2,
sentence,book_en_503_page_4_2.m4a,4.88188,
word,0,0.717289,"“Here,",en-uk_here.m4a,0.2,
word,0.717289,1.1371,"Maddie,”",en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_4_3.m4a,7.01898,
word,0,0.352343,he,en-uk_he.m4a,0.2,
word,0.352343,0.603379,"said,",en-uk_said.m4a,0.2,
sentence,book_en_503_page_4_4.m4a,8.62236,
word,0,0.482557,“drink,en-uk_drink.m4a,0.2,
word,0.482557,0.825467,some,en-uk_some.m4a,0.2,
word,0.825467,1.26597,nice,en-uk_nice.m4a,0.2,
word,1.26597,1.89896,cool,en-uk_cool.m4a,0.2,
word,1.89896,2.22478,milk.”,en-uk_milk.m4a,0.2,
sentence,book_en_503_page_4_5.m4a,11.8471,
word,0,0.529588,“I,en-uk_i.m4a,0.2,
word,0.529588,0.989052,don't,en-uk_don1t.m4a,0.2,
word,0.989052,1.62344,want,en-uk_want.m4a,0.2,
word,1.62344,2.05086,"any,”",en-uk_any.m4a,0.2,
sentence,book_en_503_page_4_6.m4a,14.898,
word,0,0.501035,Maddie,en-uk_maddie.m4a,0.2,
word,0.501035,1.02769,yelled.,en-uk_yelled.m4a,0.2,
sentence,book_en_503_page_4_7.m4a,16.9257,
word,0,0.447439,But,en-uk_but.m4a,0.2,
word,0.447439,1.02995,Maddie,en-uk_maddie.m4a,0.2,
word,1.02995,1.27323,drank,en-uk_drank.m4a,0.2,
word,1.27323,1.48943,the,en-uk_the.m4a,0.2,
word,1.48943,1.92307,milk,en-uk_milk.m4a,0.2,
word,1.92307,2.74923,anyway.,en-uk_anyway.m4a,0.2,
sentence,book_en_503_page_4_8.m4a,20.6749,
word,0,0.582798,Maddie,en-uk_maddie.m4a,0.2,
word,0.582798,0.889788,felt,en-uk_felt.m4a,0.2,
word,0.889788,1.34013,a,en-uk_a.m4a,0.2,
word,1.34013,1.68184,little,en-uk_little.m4a,0.2,
word,1.68184,2.03362,less,en-uk_less.m4a,0.2,
word,2.03362,2.59152,mad.,en-uk_mad.m4a,0.2,
page,5,book_en_503_page_5,wordwrap,
paragraph
sentence,book_en_503_page_5_1.m4a,0,
word,0,0.398335,“How,en-uk_how.m4a,0.2,
word,0.398335,0.80872,about,en-uk_about.m4a,0.2,
word,0.80872,1.0341,a,en-uk_a.m4a,0.2,
word,1.0341,1.72617,sweet,en-uk_sweet.m4a,0.2,
word,1.72617,2.34898,snack?”,en-uk_snack.m4a,0.2,
sentence,book_en_503_page_5_2.m4a,3.34898,
word,0,0.598033,asked,en-uk_asked.m4a,0.2,
word,0.598033,1.17986,Maddie's,en-uk_maddie1s.m4a,0.2,
word,1.17986,1.67853,father.,en-uk_father.m4a,0.2,
sentence,book_en_503_page_5_3.m4a,6.02751,
word,0,1.06272,"“No,",en-uk_no.m4a,0.2,
word,1.06272,1.70355,"no,",en-uk_no.m4a,0.2,
word,1.70355,2.74431,no!”,en-uk_no.m4a,0.2,
sentence,book_en_503_page_5_4.m4a,9.77181,
word,0,0.693103,shouted,en-uk_shouted.m4a,0.2,
word,0.693103,1.18649,Maddie.,en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_5_5.m4a,11.9583,
word,0,0.376406,But,en-uk_but.m4a,0.2,
word,0.376406,0.610143,her,en-uk_her.m4a,0.2,
word,0.610143,1.14241,father,en-uk_father.m4a,0.2,
word,1.14241,1.35186,gave,en-uk_gave.m4a,0.2,
word,1.35186,1.67721,her,en-uk_her.m4a,0.2,
word,1.67721,2.14276,something,en-uk_something.m4a,0.2,
word,2.14276,2.37076,to,en-uk_to.m4a,0.2,
word,2.37076,2.83607,eat,en-uk_eat.m4a,0.2,
word,2.83607,3.59946,anyway.,en-uk_anyway.m4a,0.2,
sentence,book_en_503_page_5_6.m4a,16.5578,
word,0,0.661595,Maddie,en-uk_maddie.m4a,0.2,
word,0.661595,1.12025,ate,en-uk_ate.m4a,0.2,
word,1.12025,1.3681,the,en-uk_the.m4a,0.2,
word,1.3681,1.95236,sweet,en-uk_sweet.m4a,0.2,
word,1.95236,2.49521,and,en-uk_and.m4a,0.2,
word,2.49521,2.88782,felt,en-uk_felt.m4a,0.2,
word,2.88782,3.05796,a,en-uk_a.m4a,0.2,
word,3.05796,3.30221,little,en-uk_little.m4a,0.2,
word,3.30221,3.84764,better.,en-uk_better.m4a,0.2,
page,6,book_en_503_page_6,wordwrap,
paragraph
sentence,book_en_503_page_6_1.m4a,0,
word,0,0.609602,“Why,en-uk_why.m4a,0.2,
word,0.609602,0.734665,are,en-uk_are.m4a,0.2,
word,0.734665,0.926483,you,en-uk_you.m4a,0.2,
word,0.926483,1.22656,so,en-uk_so.m4a,0.2,
word,1.22656,1.68511,"unhappy,",en-uk_unhappy.m4a,0.2,
word,1.68511,2.20095,Maddie?”,en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_6_2.m4a,3.20095,
word,0,0.649054,Maddie's,en-uk_maddie1s.m4a,0.2,
word,0.649054,0.991174,father,en-uk_father.m4a,0.2,
word,0.991174,1.63111,asked.,en-uk_asked.m4a,0.2,
sentence,book_en_503_page_6_3.m4a,5.83206,
word,0,0.276556,“Are,en-uk_are.m4a,0.2,
word,0.276556,0.484995,you,en-uk_you.m4a,0.2,
word,0.484995,1.04426,hurt?”,en-uk_hurt.m4a,0.2,
sentence,book_en_503_page_6_4.m4a,7.87633,
word,0,0.435262,he,en-uk_he.m4a,0.2,
word,0.435262,0.797891,asked.,en-uk_asked.m4a,0.2,
sentence,book_en_503_page_6_5.m4a,9.67422,
word,0,0.739025,"“No,”",en-uk_no.m4a,0.2,
sentence,book_en_503_page_6_6.m4a,11.4132,
word,0,0.556065,said,en-uk_said.m4a,0.2,
word,0.556065,0.966372,Maddie.,en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_6_7.m4a,13.3796,
