title,Big Elephant and Small Rabbit,book_en_323_page_0_1.m4a,book_en_323_page_0,landscape,audio,
word,0,0.587126,Rabbit,en-uk_rabbit.m4a,0.2,
word,0.587126,0.985714,said.,en-uk_said.m4a,0.2,
sentence,book_en_323_page_7_3.m4a,4.26893,
word,0,0.360883,“I,en-uk_i.m4a,0.2,
word,0.360883,0.769136,should,en-uk_should.m4a,0.2,
word,0.769136,0.961568,have,en-uk_have.m4a,0.2,
word,0.961568,1.28584,picked,en-uk_picked.m4a,0.2,
word,1.28584,1.45238,a,en-uk_a.m4a,0.2,
word,1.45238,1.80957,game,en-uk_game.m4a,0.2,
word,1.80957,1.96179,we,en-uk_we.m4a,0.2,
word,1.96179,2.13473,could,en-uk_could.m4a,0.2,
word,2.13473,2.67534,both,en-uk_both.m4a,0.2,
word,2.67534,3.27615,play.”,en-uk_play.m4a,0.2,
page,8,book_en_323_page_8,wordwrap,
paragraph
sentence,book_en_323_page_8_1.m4a,0,
word,0,0.500614,“Next,en-uk_next.m4a,0.2,
word,0.500614,1.23657,time,en-uk_time.m4a,0.2,
word,1.23657,1.9445,we,en-uk_we.m4a,0.2,
word,1.9445,2.21783,can,en-uk_can.m4a,0.2,
word,2.21783,2.51442,pick,en-uk_pick.m4a,0.2,
word,2.51442,2.72772,a,en-uk_a.m4a,0.2,
word,2.72772,3.23523,game,en-uk_game.m4a,0.2,
word,3.23523,3.85084,together!”,en-uk_together.m4a,0.2,
sentence,book_en_323_page_8_2.m4a,4.85084,
word,0,0.507282,Rabbit,en-uk_rabbit.m4a,0.2,
word,0.507282,1.00259,said.,en-uk_said.m4a,0.2,
sentence,book_en_323_page_8_3.m4a,6.85342,
word,0,0.635592,Elephant,en-uk_elephant.m4a,0.2,
word,0.635592,1.10041,liked,en-uk_liked.m4a,0.2,
word,1.10041,1.55117,that,en-uk_that.m4a,0.2,
word,1.55117,2.12141,idea.,en-uk_idea.m4a,0.2,
