title,Are We All the Same?,book_en_317_page_0_1.m4a,book_en_317_page_0,portrait,audio,
page,1,book_en_317_page_1,wordwrap,
paragraph
sentence,book_en_317_page_1_1.m4a,0,
word,0,0.285673,We,en-uk_we.m4a,0.2,
word,0.285673,0.456752,are,en-uk_are.m4a,0.2,
word,0.456752,1.24249,not,en-uk_not.m4a,0.2,
word,1.24249,1.53367,all,en-uk_all.m4a,0.2,
word,1.53367,1.7757,the,en-uk_the.m4a,0.2,
word,1.7757,2.48819,same.,en-uk_same.m4a,0.2,
page,2,book_en_317_page_2,wordwrap,
paragraph
sentence,book_en_317_page_2_1.m4a,0,
word,0,0.69301,He,en-uk_he.m4a,0.2,
word,0.69301,0.976433,is,en-uk_is.m4a,0.2,
word,0.976433,1.88478,round.,en-uk_round.m4a,0.2,
page,3,book_en_317_page_3,wordwrap,
paragraph
sentence,book_en_317_page_3_1.m4a,0,
word,0,0.811434,She,en-uk_she.m4a,0.2,
word,0.811434,1.13343,has,en-uk_has.m4a,0.2,
word,1.13343,1.96016,spots,en-uk_spots.m4a,0.2,
word,1.96016,2.1341,on,en-uk_on.m4a,0.2,
word,2.1341,2.39418,her,en-uk_her.m4a,0.2,
word,2.39418,2.90635,cheeks.,en-uk_cheeks.m4a,0.2,
page,4,book_en_317_page_4,wordwrap,
paragraph
sentence,book_en_317_page_4_1.m4a,0,
word,0,0.776084,He,en-uk_he.m4a,0.2,
word,0.776084,1.00288,is,en-uk_is.m4a,0.2,
word,1.00288,1.82542,tall.,en-uk_tall.m4a,0.2,
page,5,book_en_317_page_5,wordwrap,
paragraph
sentence,book_en_317_page_5_1.m4a,0,
word,0,0.491128,He,en-uk_he.m4a,0.2,
word,0.491128,0.891562,likes,en-uk_likes.m4a,0.2,
word,0.891562,1.24004,to,en-uk_to.m4a,0.2,
word,1.24004,1.74143,run.,en-uk_run.m4a,0.2,
page,6,book_en_317_page_6,wordwrap,
paragraph
sentence,book_en_317_page_6_1.m4a,0,
word,0,0.816087,She,en-uk_she.m4a,0.2,
word,0.816087,1.15058,likes,en-uk_likes.m4a,0.2,
word,1.15058,1.55016,to,en-uk_to.m4a,0.2,
word,1.55016,2.18404,read.,en-uk_read.m4a,0.2,
page,7,book_en_317_page_7,wordwrap,
paragraph
sentence,book_en_317_page_7_1.m4a,0,
word,0,0.527261,Her,en-uk_her.m4a,0.2,
word,0.527261,1.12077,hair,en-uk_hair.m4a,0.2,
word,1.12077,1.3746,is,en-uk_is.m4a,0.2,
word,1.3746,2.03116,long.,en-uk_long.m4a,0.2,
page,8,book_en_317_page_8,wordwrap,
paragraph
sentence,book_en_317_page_8_1.m4a,0,
word,0,0.37416,We,en-uk_we.m4a,0.2,
word,0.37416,0.607645,are,en-uk_are.m4a,0.2,
word,0.607645,1.49287,sometimes,en-uk_sometimes.m4a,0.2,
word,1.49287,1.7012,the,en-uk_the.m4a,0.2,
word,1.7012,2.34179,same.,en-uk_same.m4a,0.2,
page,9,book_en_317_page_9,wordwrap,
paragraph
sentence,book_en_317_page_9_1.m4a,0,
word,0,0.458298,We,en-uk_we.m4a,0.2,
word,0.458298,1.06743,all,en-uk_all.m4a,0.2,
word,1.06743,1.99533,play.,en-uk_play.m4a,0.2,
