title,To the Moon!,book_en_413_page_0_1.m4a,book_en_413_page_0,portrait,audio,
word,1.39995,1.92387,way,en-uk_way.m4a,0.2,
word,1.92387,2.06223,to,en-uk_to.m4a,0.2,
word,2.06223,2.43701,get,en-uk_get.m4a,0.2,
word,2.43701,2.69262,to,en-uk_to.m4a,0.2,
word,2.69262,2.85768,the,en-uk_the.m4a,0.2,
word,2.85768,3.37617,moon.,en-uk_moon.m4a,0.2,
page,6,book_en_413_page_6,wordwrap,
paragraph
sentence,book_en_413_page_6_1.m4a,0,
word,0,0.610431,Kartik,en-uk_john.m4a,0.2,
word,0.610431,0.937581,and,en-uk_and.m4a,0.2,
word,0.937581,1.93672,Rani,en-uk_june.m4a,0.2,
word,1.93672,2.20939,built,en-uk_built.m4a,0.2,
word,2.20939,2.67787,rocket,en-uk_rocket.m4a,0.2,
word,2.67787,3.22682,boots,en-uk_boots.m4a,0.2,
word,3.22682,3.44271,with,en-uk_with.m4a,0.2,
word,3.44271,3.71947,some,en-uk_some.m4a,0.2,
word,3.71947,4.48408,tools.,en-uk_tools.m4a,0.2,
sentence,book_en_413_page_6_2.m4a,5.48408,
word,0,0.3923,Their,en-uk_their.m4a,0.2,
word,0.3923,1.14264,boots,en-uk_boots.m4a,0.2,
word,1.14264,1.47888,shot,en-uk_shot.m4a,0.2,
word,1.47888,1.78618,them,en-uk_them.m4a,0.2,
word,1.78618,2.56813,up,en-uk_up.m4a,0.2,
word,2.56813,2.74479,to,en-uk_to.m4a,0.2,
word,2.74479,2.94205,the,en-uk_the.m4a,0.2,
word,2.94205,3.45179,moon.,en-uk_moon.m4a,0.2,
page,7,book_en_413_page_7,wordwrap,
paragraph
sentence,book_en_413_page_7_1.m4a,0,
word,0,0.807361,Kartik,en-uk_john.m4a,0.2,
word,0.807361,1.06579,and,en-uk_and.m4a,0.2,
word,1.06579,1.79116,Rani,en-uk_june.m4a,0.2,
word,1.79116,2.1017,got,en-uk_got.m4a,0.2,
word,2.1017,2.25709,to,en-uk_to.m4a,0.2,
word,2.25709,2.45792,the,en-uk_the.m4a,0.2,
word,2.45792,2.96648,moon,en-uk_moon.m4a,0.2,
word,2.96648,3.19621,and,en-uk_and.m4a,0.2,
word,3.19621,3.85721,rolled,en-uk_rolled.m4a,0.2,
word,3.85721,4.24352,and,en-uk_and.m4a,0.2,
word,4.24352,5.02801,rolled,en-uk_rolled.m4a,0.2,
word,5.02801,5.42957,down,en-uk_down.m4a,0.2,
word,5.42957,5.84427,white,en-uk_white.m4a,0.2,
word,5.84427,6.41119,sand,en-uk_sand.m4a,0.2,
word,6.41119,7.19385,dunes.,en-uk_dunes.m4a,0.2,
page,8,book_en_413_page_8,wordwrap,
paragraph
sentence,book_en_413_page_8_1.m4a,0,
word,0,0.401044,They,en-uk_they.m4a,0.2,
word,0.401044,0.788241,ate,en-uk_ate.m4a,0.2,
word,0.788241,1.06032,their,en-uk_their.m4a,0.2,
word,1.06032,1.74062,breakfast,en-uk_breakfast.m4a,0.2,
word,1.74062,1.96383,of,en-uk_of.m4a,0.2,
word,1.96383,2.52533,melon,en-uk_melon.m4a,0.2,
word,2.52533,2.73938,with,en-uk_with.m4a,0.2,
word,2.73938,2.92535,a,en-uk_a.m4a,0.2,
word,2.92535,3.59381,spoon.,en-uk_spoon.m4a,0.2,
sentence,book_en_413_page_8_2.m4a,4.59381,
word,0,0.469081,That,en-uk_that.m4a,0.2,
word,0.469081,0.674246,put,en-uk_put.m4a,0.2,
word,0.674246,0.876461,them,en-uk_them.m4a,0.2,
word,0.876461,1.58441,both,en-uk_both.m4a,0.2,
word,1.58441,1.86783,in,en-uk_in.m4a,0.2,
word,1.86783,2.06854,a,en-uk_a.m4a,0.2,
word,2.06854,2.61878,good,en-uk_good.m4a,0.2,
word,2.61878,3.31558,mood.,en-uk_mood.m4a,0.2,
page,9,book_en_413_page_9,wordwrap,
paragraph
sentence,book_en_413_page_9_1.m4a,0,
word,0,0.641105,After,en-uk_after.m4a,0.2,
word,0.641105,0.820725,they,en-uk_they.m4a,0.2,
word,0.820725,1.70974,"ate,",en-uk_ate.m4a,0.2,
word,1.70974,2.30132,they,en-uk_they.m4a,0.2,
word,2.30132,2.53476,took,en-uk_took.m4a,0.2,
word,2.53476,2.75848,a,en-uk_a.m4a,0.2,
word,2.75848,3.82691,snooze,en-uk_snooze.m4a,0.2,
word,3.82691,4.4356,and,en-uk_and.m4a,0.2,
word,4.4356,4.78649,woke,en-uk_woke.m4a,0.2,
word,4.78649,5.24603,up,en-uk_up.m4a,0.2,
word,5.24603,5.45278,to,en-uk_to.m4a,0.2,
word,5.45278,5.74024,hear,en-uk_hear.m4a,0.2,
word,5.74024,5.95302,a,en-uk_a.m4a,0.2,
word,5.95302,6.41677,space,en-uk_space.m4a,0.2,
word,6.41677,6.75832,owl,en-uk_owl.m4a,0.2,
word,6.75832,7.11088,"say,",en-uk_say.m4a,0.2,
sentence,book_en_413_page_9_2.m4a,8.11088,
word,0,0.556125,“Hoot!,en-uk_hoot.m4a,0.2,
word,0.556125,1.3058,Hoot!”,en-uk_hoot.m4a,0.2,
page,10,book_en_413_page_10,wordwrap,
paragraph
sentence,book_en_413_page_10_1.m4a,0,
word,0,0.721545,Kartik,en-uk_john.m4a,0.2,
