title,Lion and Elephant,book_en_506_page_0_1.m4a,book_en_506_page_0,portrait,audio,
word,1.13419,1.52566,her,en-uk_her.m4a,0.2,
word,1.52566,1.80194,new,en-uk_new.m4a,0.2,
word,1.80194,2.50209,friends,en-uk_friends.m4a,0.2,
word,2.50209,2.77632,about,en-uk_about.m4a,0.2,
word,2.77632,2.92685,the,en-uk_the.m4a,0.2,
word,2.92685,3.52856,humans,en-uk_humans.m4a,0.2,
word,3.52856,3.67861,who,en-uk_who.m4a,0.2,
word,3.67861,3.8286,took,en-uk_took.m4a,0.2,
word,3.8286,4.10697,care,en-uk_care.m4a,0.2,
word,4.10697,4.25881,of,en-uk_of.m4a,0.2,
word,4.25881,4.9047,her,en-uk_her.m4a,0.2,
word,4.9047,5.09622,when,en-uk_when.m4a,0.2,
word,5.09622,5.44642,she,en-uk_she.m4a,0.2,
word,5.44642,5.62113,was,en-uk_was.m4a,0.2,
word,5.62113,5.84957,sick.,en-uk_sick.m4a,0.2,
page,5,book_en_506_page_5,wordwrap,
paragraph
sentence,book_en_506_page_5_1.m4a,0,
word,0,0.291265,In,en-uk_in.m4a,0.2,
word,0.291265,0.474651,the,en-uk_the.m4a,0.2,
word,0.474651,1.5669,"evening,",en-uk_evening.m4a,0.2,
word,1.5669,2.36701,Elephant,en-uk_elephant.m4a,0.2,
word,2.36701,2.54451,was,en-uk_was.m4a,0.2,
word,2.54451,3.42641,thirsty.,en-uk_thirsty.m4a,0.2,
sentence,book_en_506_page_5_2.m4a,4.35141,
word,0,0.400531,She,en-uk_she.m4a,0.2,
word,0.400531,0.596943,went,en-uk_went.m4a,0.2,
word,0.596943,1.32648,back,en-uk_back.m4a,0.2,
word,1.32648,1.47595,to,en-uk_to.m4a,0.2,
word,1.47595,1.61798,the,en-uk_the.m4a,0.2,
word,1.61798,2.21074,watering,en-uk_watering.m4a,0.2,
word,2.21074,2.58685,hole.,en-uk_hole.m4a,0.2,
sentence,book_en_506_page_5_3.m4a,7.93825,
word,0,0.338389,When,en-uk_when.m4a,0.2,
