title,A Rainy Birthday,book_en_408_page_0_1.m4a,book_en_408_page_0,landscape,audio,
word,4.26199,4.7281,wash,en-uk_wash.m4a,0.2,
word,4.7281,4.97529,her,en-uk_her.m4a,0.2,
word,4.97529,5.66333,away.,en-uk_away.m4a,0.2,
sentence,book_en_408_page_6_2.m4a,6.66333,
word,0,0.314855,“Can,en-uk_can.m4a,0.2,
word,0.314855,0.621366,you,en-uk_you.m4a,0.2,
word,0.621366,0.825621,make,en-uk_make.m4a,0.2,
word,0.825621,1.05688,a,en-uk_a.m4a,0.2,
word,1.05688,1.62606,different,en-uk_different.m4a,0.2,
word,1.62606,2.25895,birthday,en-uk_birthday.m4a,0.2,
word,2.25895,2.70942,wish,en-uk_wish.m4a,0.2,
word,2.70942,2.94028,next,en-uk_next.m4a,0.2,
word,2.94028,3.29713,"year,",en-uk_year.m4a,0.2,
word,3.29713,4.21166,Bear?”,en-uk_bear.m4a,0.2,
sentence,book_en_408_page_6_3.m4a,11.875,
word,0,0.492019,She,en-uk_she.m4a,0.2,
word,0.492019,1.1219,asks.,en-uk_asks.m4a,0.2,
